dataset,core_id,cdisc_rule_id,issues,message
SE,CORE-000776,,1,Study Day of End of Observation (SEENDY) variable is missing when End Date/Time of Observation (SEENDTC) is present.
SE,CORE-000929,"CG0001, SEND16, TIG0090, TIG0289",1,rule evaluation error - evaluation dataset failed to build
SE,CORE-001081,CG0010,1,rule evaluation error - evaluation dataset failed to build
SUPPAE,CORE-000929,"CG0001, SEND16, TIG0090, TIG0289",1,rule evaluation error - evaluation dataset failed to build
SUPPAE,CORE-001081,CG0010,1,rule evaluation error - evaluation dataset failed to build
SUPPDM,CORE-000211,CG0528,963,Population flag is present in SUPPDM
SUPPDM,CORE-000929,"CG0001, SEND16, TIG0090, TIG0289",1,rule evaluation error - evaluation dataset failed to build
SUPPDM,CORE-001081,CG0010,1,rule evaluation error - evaluation dataset failed to build
SUPPDS,CORE-000929,"CG0001, SEND16, TIG0090, TIG0289",1,rule evaluation error - evaluation dataset failed to build
SUPPDS,CORE-001081,CG0010,1,rule evaluation error - evaluation dataset failed to build
SV,CORE-000328,,1,The Study Day of Start of Observation (SVSTDY) is not present in the dataset when Start Date/Time of Observation (SVSTDTC) is present.
SV,CORE-000334,"CG0016, SEND13, TIG0065, TIG0301",1,At least one expected variable is missing from dataset
SV,CORE-000776,,1,Study Day of End of Observation (SVENDY) variable is missing when End Date/Time of Observation (SVENDTC) is present.
SV,CORE-000929,"CG0001, SEND16, TIG0090, TIG0289",1,rule evaluation error - evaluation dataset failed to build
SV,CORE-001081,CG0010,1,rule evaluation error - evaluation dataset failed to build
TA,CORE-000929,"CG0001, SEND16, TIG0090, TIG0289",1,rule evaluation error - evaluation dataset failed to build
TA,CORE-001081,CG0010,1,rule evaluation error - evaluation dataset failed to build
TE,CORE-000929,"CG0001, SEND16, TIG0090, TIG0289",1,rule evaluation error - evaluation dataset failed to build
TE,CORE-001081,CG0010,1,rule evaluation error - evaluation dataset failed to build
TI,CORE-000929,"CG0001, SEND16, TIG0090, TIG0289",1,rule evaluation error - evaluation dataset failed to build
TI,CORE-001081,CG0010,1,rule evaluation error - evaluation dataset failed to build
TS,CORE-000294,"CG0270, TIG0471",1,TSVAL is not in ISO 8601 format
TS,CORE-000334,"CG0016, SEND13, TIG0065, TIG0301",1,At least one expected variable is missing from dataset
TS,CORE-000741,,33,"The set  ('INTMODEL’, 'INTTYPE','PCLASS') is not in the list of TSPARAMCD with TSVAL populated."
TS,CORE-000929,"CG0001, SEND16, TIG0090, TIG0289",1,rule evaluation error - evaluation dataset failed to build
TS,CORE-001081,CG0010,1,rule evaluation error - evaluation dataset failed to build
TV,CORE-000929,"CG0001, SEND16, TIG0090, TIG0289",1,rule evaluation error - evaluation dataset failed to build
TV,CORE-001081,CG0010,1,rule evaluation error - evaluation dataset failed to build
